s,C, C, m, Pa, 1 / m, 1 / m, kW, m, m, m ^ 2,
Time,ULT_1,LLT_1,HGT_1,PRS_1,ULOD_1,LLOD_1,HRR_1,FLHGT_1,FBASE_1,FAREA_1,
3096,233.341625853105,68.8206828476363,2.20990683250318,-1.79562545264385,0.437395215034485,0.000393441383494064,0,-2.01294746499372,0,2.21,2.138,
3132,230.696269346973,68.1313887392719,2.21148861237143,-1.77635842710363,0.439692467451096,0.000394236471038312,0,-2.01294746499372,0,2.21,2.138,
3168,228.114379513488,67.4604379450796,2.21303209161092,-1.75751582073715,0.441957980394363,0.000395013456000015,0,-2.01294746499372,0,2.21,2.138,
3204,225.593306344736,66.8070085525086,2.21453887781929,-1.73908096595298,0.444192796945572,0.000395773095078766,0,-2.01294746499372,0,2.21,2.138,
3240,223.130602389563,66.1703383556088,2.21601045579714,-1.72103837827232,0.446397751569748,0.000396516115870327,0,-2.01294746499372,0,2.21,2.138,
3276,220.723993870489,65.549718150063,2.21744820498611,-1.70337361647985,0.448573738336563,0.000397243071347475,0,-2.01294746499372,0,2.21,2.138,
3312,218.371358570058,64.9444860592131,2.21885341283381,-1.68607316476338,0.450721502304077,0.000397954572690651,0,-2.01294746499372,0,2.21,2.138,
3348,216.070708110554,64.3540226875309,2.22022728551213,-1.66912433334779,0.452841818332672,0.000398651172872633,0,-2.01294746499372,0,2.21,2.138,
3384,213.820173782839,63.7777470001146,2.22157095649801,-1.65251517506737,0.454935401678085,0.000399333366658539,0,-2.01294746499372,0,2.21,2.138,
3420,211.617994726752,63.215112782351,2.22288549373527,-1.63623441473578,0.457002758979797,0.000400001707021147,0,-2.01294746499372,0,2.21,2.138,
3456,209.462507872143,62.6656055453662,2.22417190573319,-1.62027138767831,0.459044605493546,0.000400656601414084,0,-2.01294746499372,0,2.21,2.138,
3492,207.352139567987,62.1287398512289,2.22543114664702,-1.60461598767803,0.461061418056488,0.000401298486394808,0,-2.01294746499372,0,2.21,2.138,
3528,205.285397945961,61.6040569292139,2.22666412091119,-1.58925862087359,0.463053822517395,0.000401927798520774,0,-2.01294746499372,0,2.21,2.138,
3564,203.260866645493,61.0911225927862,2.22787168705255,-1.57419016539426,0.46502223610878,0.000402544945245609,0,-2.01294746499372,0,2.21,2.138,
3600,201.277199002492,60.589525372346,2.22905466122004,-1.55940193595394,0.46696725487709,0.000403150304919109,0,-2.01294746499372,0,2.21,2.138,
